gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000142669,SH3BGRL3,post-treatment,0.3248901637045064,3.8844444708665447,0.7607899700432709,0.42704317419698357,1.7394749937278665e-5,0.8056443524882697,1
ENSG00000143774,GUK1,post-treatment,0.34073482122480714,1.5488754162488845,0.6182181293686897,0.5511563071965518,0.006620931253635492,1.5705262360198635e-6,0.10488288309387853
ENSG00000228474,OST4,post-treatment,0.3357525885039815,1.466479989101298,0.6485077110839897,0.5177310659001515,0.004273941969602377,1.144683958532892e-4,1
ENSG00000187514,PTMA,post-treatment,0.3350163981448489,13.514615499192692,0.7141906135581937,0.46908541191230746,0.006236910478778894,3.152771647974708e-6,0.21054839619504698
ENSG00000164032,H2AFZ,post-treatment,0.3153420676997504,2.0412325834373957,0.5208032841451237,0.6054917034891032,0.012993887647258949,1.7019825316630504e-11,1.1366179742952183e-6
ENSG00000075624,ACTB,post-treatment,0.4468019563823249,8.492032223670858,0.788860534783091,0.5663890341594788,0.01409949434031543,2.376157268829892e-12,1.5868453472699784e-7
ENSG00000205542,TMSB4X,post-treatment,0.31500953546309585,9.060788902731787,0.6784644402529679,0.4642977830137176,0.003288485385282592,7.152634684490744e-4,1
ENSG00000130066,SAT1,post-treatment,0.3391204586053917,3.3567116817803737,0.6105625208032841,0.5554229862639279,2.4155654745407296e-4,0.3591894398102267,1
ENSG00000147454,SLC25A37,post-treatment,0.36731738379978507,3.58333525352423,0.5892599578386775,0.6233537149665718,0.05985141435268757,1.6315422756428907e-47,1.0895765625198352e-42
ENSG00000177156,TALDO1,post-treatment,0.3201937139753289,1.818718130322504,0.6513924331521136,0.49155270721506383,0.004261089632939013,1.1721798855971591e-4,1
ENSG00000117984,CTSD,post-treatment,0.314859048040006,1.6983563189708109,0.5706202152446466,0.5517839004442104,0.0037842586998514476,2.835660891581249e-4,1
ENSG00000244734,HBB,post-treatment,0.32200397709690004,440.69974518828815,0.4259403084433596,0.7559838097354414,0.06426106058307356,6.599321907571213e-51,4.407159156314207e-46
ENSG00000121691,CAT,post-treatment,0.3557088406908401,2.2089008904809133,0.5783867746588262,0.6150016844708501,0.027205009131543948,1.941314736383837e-22,1.2964488072518541e-17
ENSG00000167996,FTH1,post-treatment,0.37443280556768066,15.077770224462371,0.7843115499833574,0.47740315130591393,0.00948810827789702,8.955262162822313e-9,5.980503177575998e-4
ENSG00000245532,NEAT1,post-treatment,0.35010814473827695,17.398239084715165,0.7083102185731721,0.49428645183679354,0.007584067112863067,2.751320620966343e-7,0.01837386937093743
