gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000142669,SH3BGRL3,post-treatment,0.3248901637045064,3.8844444708665447,0.7607899700432709,0.42704317419698357,7.293478953200162e-4,0.11109386099499338,1
ENSG00000143774,GUK1,post-treatment,0.34073482122480714,1.5488754162488845,0.6182181293686897,0.5511563071965518,0.0035786360176972586,4.1581907912853516e-4,1
ENSG00000228474,OST4,post-treatment,0.3357525885039815,1.466479989101298,0.6485077110839897,0.5177310659001515,0.003934379532409367,2.145857352222954e-4,1
ENSG00000187514,PTMA,post-treatment,0.3350163981448489,13.514615499192692,0.7141906135581937,0.46908541191230746,0.007612103125790314,2.615579421726348e-7,0.017467362494172897
ENSG00000164032,H2AFZ,post-treatment,0.3153420676997504,2.0412325834373957,0.5208032841451237,0.6054917034891032,0.009886134970202716,4.387053812672095e-9,2.9297622771786786e-4
ENSG00000075624,ACTB,post-treatment,0.4468019563823249,8.492032223670858,0.788860534783091,0.5663890341594788,0.012709513018745018,2.8254322809151397e-11,1.8868801858407485e-6
ENSG00000205542,TMSB4X,post-treatment,0.31500953546309585,9.060788902731787,0.6784644402529679,0.4642977830137176,0.003417173457609748,5.621345578509542e-4,1
ENSG00000130066,SAT1,post-treatment,0.3391204586053917,3.3567116817803737,0.6105625208032841,0.5554229862639279,1.0760542193169099e-4,0.5405562583067977,1
ENSG00000147454,SLC25A37,post-treatment,0.36731738379978507,3.58333525352423,0.5892599578386775,0.6233537149665718,0.06593698214719972,3.383324574292632e-52,2.2594518172041054e-47
ENSG00000177156,TALDO1,post-treatment,0.3201937139753289,1.818718130322504,0.6513924331521136,0.49155270721506383,0.004351619968841764,9.917778789250267e-5,1
ENSG00000117984,CTSD,post-treatment,0.314859048040006,1.6983563189708109,0.5706202152446466,0.5517839004442104,0.0015673196793089257,0.019503981057157123,1
ENSG00000244734,HBB,post-treatment,0.32200397709690004,440.69974518828815,0.4259403084433596,0.7559838097354414,0.0649345952358755,2.000042513628211e-51,1.3356683914511919e-46
ENSG00000121691,CAT,post-treatment,0.3557088406908401,2.2089008904809133,0.5783867746588262,0.6150016844708501,0.02225773583701358,1.2295324527771355e-18,8.211063626136266e-14
ENSG00000167996,FTH1,post-treatment,0.37443280556768066,15.077770224462371,0.7843115499833574,0.47740315130591393,0.011110181538100835,4.907493831804271e-10,3.277322530755528e-5
ENSG00000245532,NEAT1,post-treatment,0.35010814473827695,17.398239084715165,0.7083102185731721,0.49428645183679354,0.011527794332543386,2.327121110687337e-10,1.5540980201392174e-5
ENSG00000109971,HSPA8,post-treatment,0.3149855634335955,1.5921302702975881,0.5448796183290802,0.5780828514003251,0.015021249835413619,4.610966245216604e-13,3.0792954778805524e-8
ENSG00000122862,SRGN,post-treatment,0.4181077122559876,9.313565738036772,0.6101187174081881,0.6852891090313178,0.013192405835009758,1.1949087161510631e-11,7.97983938820003e-7
ENSG00000060138,YBX3,post-treatment,0.334435146137334,1.9103952229343555,0.6671474536780206,0.5012911977608168,0.005736890126975379,7.830682252441545e-6,0.5229486221825512
ENSG00000092841,MYL6,post-treatment,0.32938767992282175,2.582498438911859,0.7126373016753578,0.46220942848270163,1.788551212351901e-5,0.8029773533940201,1
ENSG00000090382,LYZ,post-treatment,0.3784043155344861,13.93560044517504,0.43847775435482084,0.8629954696134421,0.0589578823590101,7.941202142250719e-47,5.3032936146378756e-42
ENSG00000088986,DYNLL1,post-treatment,0.3900094914062891,1.2473845157186092,0.5198047265061577,0.7503000098281503,0.09113103139848487,1.2337185940765617e-71,8.239019514962094e-67
ENSG00000189403,HMGB1,post-treatment,0.3156549340139935,3.991934179674035,0.6724730944191724,0.46939414622473574,0.00686330079611218,1.012398912600133e-6,0.06761002418126208
ENSG00000133112,TPT1,post-treatment,0.3245827221761712,21.97993739095774,0.8762898036169977,0.37040568181486844,0.009166584411101854,1.594591308050844e-8,0.0010648999673425147
ENSG00000080824,HSP90AA1,post-treatment,0.32430000434358625,4.7653116293634366,0.6844557860867636,0.47380709015217093,0.008895288376137645,2.595670438339886e-8,0.0017334406321321426
ENSG00000140264,SERF2,post-treatment,0.4295472444332305,4.994593001827498,0.8197048707422612,0.5240267073736744,0.009240370054725342,1.3967779575966642e-8,9.327962556422043e-4
ENSG00000166710,B2M,post-treatment,0.3309818814770084,10.508819035119657,0.788749583934317,0.4196285972362185,0.005652220816120051,9.137614671206946e-6,0.6102281829725423
ENSG00000188536,HBA2,post-treatment,0.32224985476528145,326.08363854417735,0.4005325640741152,0.8045534462602442,0.06283817779560537,8.2149696081731555e-50,5.486121003730197e-45
ENSG00000103363,ELOB,post-treatment,0.3264719330243079,1.3253211719575053,0.6532785975812715,0.4997438064449876,0.0035910830399237025,4.062799469741898e-4,1
ENSG00000170315,UBB,post-treatment,0.4011827371175248,4.268434548581767,0.7729945634084101,0.5189981354442731,0.0015809529495603302,0.018981499719833872,1
ENSG00000013306,SLC25A39,post-treatment,0.32301161022169633,2.589622383648771,0.4205037168534339,0.7681539954955539,0.04265143506901449,2.6892116706420555e-34,1.7959093378881773e-29
ENSG00000124172,ATP5F1E,post-treatment,0.35277939013755383,3.015783269746831,0.742261178298014,0.4752766282974249,1.2061675278989087e-4,0.5170393620582231,1
ENSG00000172270,BSG,post-treatment,0.3723907568016412,1.7470237879927903,0.6051259292133585,0.6153938194083594,0.02775111685226799,7.390557196405572e-23,4.935561906903569e-18
ENSG00000167468,GPX4,post-treatment,0.3495654922454872,2.0365578818117913,0.6244313769000333,0.5598141047634286,0.001810935231172777,0.012047045872061686,1
ENSG00000127540,UQCR11,post-treatment,0.32153515329380367,1.2034244790710675,0.6266503938755131,0.5131013343904129,0.005380693532762579,1.4999611962692694e-5,1
ENSG00000104904,OAZ1,post-treatment,0.47564415718951286,4.67460847045135,0.8133806723621436,0.5847743539420378,0.024477609491333353,2.417545051725401e-20,1.6144849364432574e-15
ENSG00000104903,LYL1,post-treatment,0.3138333837478467,0.9394614454295706,0.5284588927105293,0.5938652714086379,0.026506223766551686,6.6807453368323e-22,4.461535350843347e-17
ENSG00000105701,FKBP8,post-treatment,0.35850918560465483,1.7032104968495518,0.5710640186397425,0.6277915853613278,0.013754992040815341,4.38726076190083e-12,2.929900482012612e-7
