gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000142669,SH3BGRL3,post-treatment,0.3248901637045064,3.8844444708665447,0.7607899700432709,0.42704317419698357,0.0018341667694504995,0.011510056675897879,1
ENSG00000143774,GUK1,post-treatment,0.34073482122480714,1.5488754162488845,0.6182181293686897,0.5511563071965518,0.0020657360939533524,0.007326603165899406,1
ENSG00000228474,OST4,post-treatment,0.3357525885039815,1.466479989101298,0.6485077110839897,0.5177310659001515,0.004557965904061662,6.780484467864737e-5,1
ENSG00000187514,PTMA,post-treatment,0.3350163981448489,13.514615499192692,0.7141906135581937,0.46908541191230746,0.010471445154401843,1.5380567302905632e-9,1.0271450456226439e-4
ENSG00000164032,H2AFZ,post-treatment,0.3153420676997504,2.0412325834373957,0.5208032841451237,0.6054917034891032,0.007066886406388898,7.004035799004791e-7,0.046774351872913796
ENSG00000075624,ACTB,post-treatment,0.4468019563823249,8.492032223670858,0.788860534783091,0.5663890341594788,0.007623394397117489,2.562825572264595e-7,0.01711506173669742
ENSG00000205542,TMSB4X,post-treatment,0.31500953546309585,9.060788902731787,0.6784644402529679,0.4642977830137176,0.0026417121094093883,0.0024244924930404105,1
ENSG00000130066,SAT1,post-treatment,0.3391204586053917,3.3567116817803737,0.6105625208032841,0.5554229862639279,2.3766429236906763e-4,0.36308978815169274,1
ENSG00000147454,SLC25A37,post-treatment,0.36731738379978507,3.58333525352423,0.5892599578386775,0.6233537149665718,0.06135817510266914,1.1309189218671353e-48,7.552502744013102e-44
ENSG00000177156,TALDO1,post-treatment,0.3201937139753289,1.818718130322504,0.6513924331521136,0.49155270721506383,0.001296946276294073,0.033609338013957525,1
ENSG00000117984,CTSD,post-treatment,0.314859048040006,1.6983563189708109,0.5706202152446466,0.5517839004442104,0.0033556990835030558,6.306512067963089e-4,1
ENSG00000244734,HBB,post-treatment,0.32200397709690004,440.69974518828815,0.4259403084433596,0.7559838097354414,0.05906241159408961,6.599160952017668e-47,4.407051666976439e-42
ENSG00000121691,CAT,post-treatment,0.3557088406908401,2.2089008904809133,0.5783867746588262,0.6150016844708501,0.015343240489842752,2.6013365849939925e-13,1.737224598190688e-8
ENSG00000167996,FTH1,post-treatment,0.37443280556768066,15.077770224462371,0.7843115499833574,0.47740315130591393,0.013167038497594919,1.2501515573000812e-11,8.348762129961402e-7
ENSG00000245532,NEAT1,post-treatment,0.35010814473827695,17.398239084715165,0.7083102185731721,0.49428645183679354,0.010650088691615258,1.1172607731496199e-9,7.461290895247791e-5
