gene_id,gene_short_name,cluster,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000186891,TNFRSF18,11,0.20593702425566787,2.3262338251915065,0.719626168224299,0.2861722285111229,0.41950533999915685,3.015366390706931e-65,7.551457436407135e-59
ENSG00000186891,TNFRSF18,52,0.054204415219256626,0.78518780474155625,0.432258064516129,0.12539827401469816,0.13277369220496157,1.1263585435933243e-27,2.820767859684352e-21
ENSG00000186827,TNFRSF4,33,0.17766720907132244,2.6167783037971435,0.7936320754716981,0.22386596328749098,0.42621443462888636,2.5602e-320,6.411693515e-314
ENSG00000186827,TNFRSF4,34,0.21033745670656875,2.85417042232801,0.8799149840595112,0.23904293087062944,0.5474329558866369,1.41942165033e-313,3.5546931244630046e-307
ENSG00000186827,TNFRSF4,35,0.10806354901983037,1.4670712984639134,0.7491071428571429,0.14425646591443386,0.344302981512374,1.2627401429781117e-214,3.1623117085636597e-208
ENSG00000169962,TAS1R3,7,0.06859254639961762,0.044231052903523124,0.16,0.4287034149976101,0.08056652280607335,1.4837111989057095e-5,1
ENSG00000235169,SMIM1,10,0.0480017798239021,0.8222288451484207,0.34005037783375314,0.1411607895562158,0.09937480555475658,5.022935681547325e-37,1.2579063400691003e-30
ENSG00000235169,SMIM1,46,0.12238038572731327,0.9501255666783541,0.7762906309751434,0.1576476397423272,0.39616542058751686,6.090248505545922e-239,1.525196158865129e-232
ENSG00000215788,TNFRSF25,19,0.021983948154985222,0.665685300040667,0.14503042596348883,0.15158162853717083,0.03270914288583504,1.16619717357087e-20,2.920536736702869e-14
ENSG00000215788,TNFRSF25,36,0.07558365907999348,0.6649633144407977,0.4990467111534795,0.15145608094539287,0.1922481346539615,3.356514787725694e-158,8.405803895771148e-152
ENSG00000074800,ENO1,23,0.062227815028323995,6.919207702357177,0.9983007646559049,0.062333734713478584,0.43383903450331396,9.97620873903851e-277,2.4983668950392615e-270
ENSG00000074800,ENO1,26,0.06475124010607018,7.270002383941206,0.998766954377312,0.06483117990867027,0.4219897333435065,2.3827049633488926e-224,5.967067607338715e-218
ENSG00000074800,ENO1,56,0.04781348795282726,4.978547580213075,0.9980456026058632,0.0479071174984268,0.3209250992474505,5.644883211605025e-231,1.4136622148902753e-224
ENSG00000074800,ENO1,57,0.04709347969877419,4.9071981845125165,0.9944994499449945,0.04735395248471874,0.30733374751667975,7.188813329047695e-238,1.800312494026737e-231
ENSG00000074800,ENO1,58,0.045751433198309446,4.728042512517012,0.9955323901712584,0.04595675002642452,0.28864861556917176,7.865366399425033e-196,1.9697433708240097e-189
